city,year,month,predicted_uhi
Hyderabad,2029,6,-1.6781
Hyderabad,2029,7,-0.739
Hyderabad,2029,8,-1.1878
Hyderabad,2029,9,-0.0364
Hyderabad,2029,10,-0.0463
Hyderabad,2029,11,-1.1515
Hyderabad,2029,12,-1.4772
Hyderabad,2030,1,-1.4007
Hyderabad,2030,2,-1.4343
Hyderabad,2030,3,-1.6279
Hyderabad,2030,4,-1.6295
Hyderabad,2030,5,-1.1162
Hyderabad,2030,6,-1.6781
Hyderabad,2030,7,-0.739
Hyderabad,2030,8,-1.1878
Hyderabad,2030,9,-0.0364
Hyderabad,2030,10,-0.0463
Hyderabad,2030,11,-1.1515
Hyderabad,2030,12,-1.4772
Mumbai,2025,1,-2.4919
Mumbai,2025,2,-1.6682
Mumbai,2025,3,-1.3723
Mumbai,2025,4,-1.3723
Mumbai,2025,5,-1.3723
Mumbai,2025,6,-1.7509
Mumbai,2025,7,-1.69
Mumbai,2025,8,-1.9125
Mumbai,2025,9,-1.9603
Mumbai,2025,10,-2.002
Mumbai,2025,11,-1.9666
Mumbai,2025,12,-2.4478
Mumbai,2026,1,-2.4919
Mumbai,2026,2,-1.6682
Mumbai,2026,3,-1.3723
Mumbai,2026,4,-1.3723
Mumbai,2026,5,-1.3723
Mumbai,2026,6,-1.7509
Mumbai,2026,7,-1.69
Mumbai,2026,8,-1.9125
Mumbai,2026,9,-1.9603
Mumbai,2026,10,-2.002
Mumbai,2026,11,-1.9666
Mumbai,2026,12,-2.4478
Mumbai,2027,1,-2.4919
Mumbai,2027,2,-1.6682
Mumbai,2027,3,-1.3723
Mumbai,2027,4,-1.3723
Mumbai,2027,5,-1.3723
Mumbai,2027,6,-1.7509
Mumbai,2027,7,-1.69
Mumbai,2027,8,-1.9125
Mumbai,2027,9,-1.9603
Mumbai,2027,10,-2.002
Mumbai,2027,11,-1.9666
Mumbai,2027,12,-2.4478
Mumbai,2028,1,-2.4919
Mumbai,2028,2,-1.6682
Mumbai,2028,3,-1.3723
Mumbai,2028,4,-1.3723
Mumbai,2028,5,-1.3723
Mumbai,2028,6,-1.7509
Mumbai,2028,7,-1.69
Mumbai,2028,8,-1.9125
Mumbai,2028,9,-1.9603
Mumbai,2028,10,-2.002
Mumbai,2028,11,-1.9666
Mumbai,2028,12,-2.4478
Mumbai,2029,1,-2.4919
Mumbai,2029,2,-1.6682
Mumbai,2029,3,-1.3723
Mumbai,2029,4,-1.3723
Mumbai,2029,5,-1.3723
Mumbai,2029,6,-1.7509
Mumbai,2029,7,-1.69
Mumbai,2029,8,-1.9125
Mumbai,2029,9,-1.9603
Mumbai,2029,10,-2.002
Mumbai,2029,11,-1.9666
Mumbai,2029,12,-2.4478
Mumbai,2030,1,-2.4919
Mumbai,2030,2,-1.6682
Mumbai,2030,3,-1.3723
Mumbai,2030,4,-1.3723
Mumbai,2030,5,-1.3723
Mumbai,2030,6,-1.7509
Mumbai,2030,7,-1.69
Mumbai,2030,8,-1.9125
Mumbai,2030,9,-1.9603
Mumbai,2030,10,-2.002
Mumbai,2030,11,-1.9666
Mumbai,2030,12,-2.4478
Surat,2025,1,-0.1051
Surat,2025,2,-0.2495
Surat,2025,3,-0.6566
Surat,2025,4,-0.2585
Surat,2025,5,0.8138
Surat,2025,6,0.0751
Surat,2025,7,0.467
Surat,2025,8,-0.4442
Surat,2025,9,-0.1708
Surat,2025,10,0.028
Surat,2025,11,0.2578
Surat,2025,12,0.1576
Surat,2026,1,-0.1051
Surat,2026,2,-0.2495
Surat,2026,3,-0.6566
Surat,2026,4,-0.2585
Surat,2026,5,0.8138
Surat,2026,6,0.0751
Surat,2026,7,0.467
Surat,2026,8,-0.4442
Surat,2026,9,-0.1708
Surat,2026,10,0.028
Surat,2026,11,0.2578
Surat,2026,12,0.1576
Surat,2027,1,-0.1051
Surat,2027,2,-0.2495
Surat,2027,3,-0.6566
Surat,2027,4,-0.2585
Surat,2027,5,0.8138
Surat,2027,6,0.0751
Surat,2027,7,0.467
Surat,2027,8,-0.4442
Surat,2027,9,-0.1708
Surat,2027,10,0.028
Surat,2027,11,0.2578
Surat,2027,12,0.1576
Surat,2028,1,-0.1051
Surat,2028,2,-0.2495
Surat,2028,3,-0.6566
Surat,2028,4,-0.2585
Surat,2028,5,0.8138
Surat,2028,6,0.0751
Surat,2028,7,0.467
Surat,2028,8,-0.4442
Surat,2028,9,-0.1708
Surat,2028,10,0.028
Surat,2028,11,0.2578
Surat,2028,12,0.1576
Surat,2029,1,-0.1051
Surat,2029,2,-0.2495
Surat,2029,3,-0.6566
Surat,2029,4,-0.2585
Surat,2029,5,0.8138
Surat,2029,6,0.0751
Surat,2029,7,0.467
Surat,2029,8,-0.4442
Surat,2029,9,-0.1708
Surat,2029,10,0.028
Surat,2029,11,0.2578
Surat,2029,12,0.1576
Surat,2030,1,-0.1051
Surat,2030,2,-0.2495
Surat,2030,3,-0.6566
Surat,2030,4,-0.2585
Surat,2030,5,0.8138
Surat,2030,6,0.0751
Surat,2030,7,0.467
Surat,2030,8,-0.4442
Surat,2030,9,-0.1708
Surat,2030,10,0.028
Surat,2030,11,0.2578
Surat,2030,12,0.1576
Chennai,2025,1,-0.5962
Chennai,2025,2,-0.2663
Chennai,2025,3,-0.3666
Chennai,2025,4,-0.293
Chennai,2025,5,-0.4452
Chennai,2025,6,-1.9275
Chennai,2025,7,-1.0379
Chennai,2025,8,-0.5589
Chennai,2025,9,-0.4587
Chennai,2025,10,-0.5079
Chennai,2025,11,-0.6322
Chennai,2025,12,-0.1576
Chennai,2026,1,-0.5962
Chennai,2026,2,-0.2663
Chennai,2026,3,-0.3666
Chennai,2026,4,-0.293
Chennai,2026,5,-0.4452
Chennai,2026,6,-1.9275
Chennai,2026,7,-1.0379
Chennai,2026,8,-0.5589
Chennai,2026,9,-0.4587
Chennai,2026,10,-0.5079
Chennai,2026,11,-0.6322
Chennai,2026,12,-0.1576
Chennai,2027,1,-0.5962
Chennai,2027,2,-0.2663
Chennai,2027,3,-0.3666
Chennai,2027,4,-0.293
Chennai,2027,5,-0.4452
Chennai,2027,6,-1.9275
Chennai,2027,7,-1.0379
Chennai,2027,8,-0.5589
Chennai,2027,9,-0.4587
Chennai,2027,10,-0.5079
Chennai,2027,11,-0.6322
Chennai,2027,12,-0.1576
Chennai,2028,1,-0.5962
Chennai,2028,2,-0.2663
Chennai,2028,3,-0.3666
Chennai,2028,4,-0.293
