city,date,year,month,day_of_year,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,UHI_Index
Bangalore,2020-04-14,2020,4,105,38.7812733465451,40.551122966244286,22.45720500357332,-1.7698496196991869
Bangalore,2020-04-22,2020,4,113,33.6209780453258,35.98053421287582,,-2.359556167550018
Bangalore,2020-04-30,2020,4,121,33.282646763891634,33.77270908883049,23.513376822967782,-0.4900623249388545
Bangalore,2020-05-08,2020,5,129,34.13000416675348,35.80483855426207,23.668324131752772,-1.6748343875085894
Bangalore,2020-05-16,2020,5,137,33.115565799135204,35.76036804993007,23.545084978798666,-2.644802250794868
Bangalore,2020-05-24,2020,5,145,33.31966881955387,34.42003811854887,23.145325181641013,-1.1003692989949982
Bangalore,2020-06-01,2020,6,153,32.75768914672472,34.38737954903709,21.96259639363135,-1.6296904023123702
Bangalore,2020-06-25,2020,6,177,31.997581125448587,31.716834297606837,21.11641782778782,0.28074682784174954
Bangalore,2020-07-19,2020,7,201,28.714000000000034,29.32368547122959,21.444000000000027,-0.6096854712295574
Bangalore,2020-08-20,2020,8,233,32.06896124452218,32.52561148533419,,-0.4566502408120101
Bangalore,2020-08-28,2020,8,241,30.483913659330685,31.91633412026976,20.08027368818425,-1.432420460939074
Bangalore,2020-09-05,2020,9,249,29.52000000000001,30.26210526315792,21.430000000000035,-0.7421052631579101
Bangalore,2020-09-21,2020,9,265,31.52779883130823,30.887921128435845,,0.6398777028723828
Bangalore,2020-09-29,2020,9,273,29.85348656441975,28.87969664476399,20.78492880270675,0.9737899196557613
Bangalore,2020-10-07,2020,10,281,32.26475198296514,31.390467858623445,21.49693244610065,0.8742841243416919
Bangalore,2020-10-23,2020,10,297,29.024660845915633,28.83989076870384,19.264664191588366,0.18477007721179461
Bangalore,2020-10-31,2020,10,305,28.453264931951228,28.334881995405883,20.05863761370852,0.11838293654534482
Bangalore,2020-11-08,2020,11,313,26.56917112657215,27.62548169430962,17.992168304126842,-1.0563105677374693
Bangalore,2020-11-16,2020,11,321,27.380993499012103,28.003608020856372,17.988283491978905,-0.6226145218442696
Bangalore,2020-11-24,2020,11,329,27.38724016553301,27.039202916304106,17.394653950435266,0.34803724922890567
Bangalore,2020-12-10,2020,12,345,27.19136327277483,27.498692801140464,17.395172552607562,-0.307329528365635
Bangalore,2020-12-18,2020,12,353,27.27283374757777,27.831902489824245,17.495853589181937,-0.559068742246474
Bangalore,2020-12-26,2020,12,361,28.526080310100124,29.37828946573882,17.357837093539263,-0.8522091556386968
Bangalore,2021-01-01,2021,1,1,26.438909280293654,28.32125024577431,15.85313975685726,-1.8823409654806547
Bangalore,2021-01-09,2021,1,9,26.993511274855674,29.05001562540895,17.723483838938133,-2.0565043505532756
Bangalore,2021-01-17,2021,1,17,29.027300560498865,29.733327754427258,18.933414418488884,-0.7060271939283922
Bangalore,2021-01-25,2021,1,25,30.171032949989662,31.162528155046196,18.71028839477141,-0.991495205056534
Bangalore,2021-02-02,2021,2,33,30.295672840425425,31.43707282553942,18.630233736758626,-1.1413999851139955
Bangalore,2021-02-10,2021,2,41,31.88635259039154,33.315318538264606,18.972749651459853,-1.428965947873067
Bangalore,2021-02-18,2021,2,49,31.391048542003507,32.239794813578655,19.749846006923768,-0.8487462715751484
Bangalore,2021-02-26,2021,2,57,35.22967551786884,36.16211456217159,20.68376408395384,-0.9324390443027468
Bangalore,2021-03-06,2021,3,65,37.08363733501586,38.5591441336033,22.158127245158663,-1.475506798587439
Bangalore,2021-03-14,2021,3,73,37.51321200781508,39.06171976595312,22.161525993156754,-1.5485077581380438
Bangalore,2021-03-22,2021,3,81,37.63353596195352,40.03057484868229,23.160480295824534,-2.3970388867287724
Bangalore,2021-03-30,2021,3,89,37.57466180142507,39.0065135688062,23.230413004202113,-1.4318517673811257
Bangalore,2021-04-07,2021,4,97,36.253701404787,38.166220065474306,22.225422096976352,-1.9125186606873044
Bangalore,2021-04-15,2021,4,105,34.85630612360938,35.37490380797215,21.402957655325476,-0.5185976843627742
Bangalore,2021-04-23,2021,4,113,33.18220556932184,34.48645102819124,23.491070637164498,-1.3042454588694028
Bangalore,2021-05-01,2021,5,121,32.528612706742635,33.60432421156186,22.507916144639083,-1.0757115048192247
Bangalore,2021-05-09,2021,5,129,32.59112062256812,35.20272764221086,22.520388412294725,-2.61160701964274
Bangalore,2021-05-17,2021,5,137,33.72513583832935,34.93994706158463,22.32271339385893,-1.214811223255282
Bangalore,2021-05-25,2021,5,145,33.007962269033996,34.507846035970765,21.884363107979166,-1.4998837669367688
Bangalore,2021-06-02,2021,6,153,33.45168543328244,33.57154725363485,22.175214293317318,-0.11986182035240489
Bangalore,2021-06-18,2021,6,169,31.46972812537105,33.87903995201528,20.410563932090728,-2.4093118266442346
Bangalore,2021-06-26,2021,6,177,33.29101818100125,35.03371642702724,21.727100747384164,-1.7426982460259879
Bangalore,2021-07-28,2021,7,209,30.350000000000023,29.671408761424548,,0.6785912385754749
